,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Language,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0,SC1,SC2,SC3,SC4,SC5
Participant 25,10/26/2022 13:40:35,10/26/2022 14:19:07,IP Address,100,2311,TRUE,10/26/2022 14:19:07,R_3lzsjtiVl0KhKYl,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,4- Usually,3- Often,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,2- Sometimes,4- Usually,Moderate stress,None,Mild stress,None,Mild Stress,Mild stress,None,C,E- describes me very well,A- does not describe me well,A- does not describe me well,D,C,B,D,E- describes me very well,D,E- describes me very well,B,D,A- does not describe me well,A- does not describe me well,C,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,D,B,D,D,B,E- describes me very well,No,No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,"Watched movies, read a book",,Current second year,30-34,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,"Gay, lesbian, or homosexual",Married,No,No,No,No,46,84,19,28,22,12
Participant 26,10/26/2022 14:18:15,10/26/2022 14:23:37,IP Address,100,322,TRUE,10/26/2022 14:23:37,R_r8V1ZJgzkMELgrL,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,2- Sometimes,2- Sometimes,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,Moderate stress,Mild stress,None,None,Moderate stress,None,None,D,E- describes me very well,B,A- does not describe me well,E- describes me very well,C,B,C,D,D,D,B,C,B,C,B,C,B,C,D,D,D,C,B,B,D,B,C,"Yes, 3x per month or less",No,"Yes, 3+ times per week",No,"Yes, 3x per month or less",Reading,,,Current first year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,37,71,21,23,16,13
Participant 27,10/26/2022 14:18:02,10/26/2022 14:24:14,IP Address,100,372,TRUE,10/26/2022 14:24:14,R_qWntCWtBDG0u5Tb,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,4- Usually,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,Mild stress,Moderate stress,Moderate stress,Mild stress,Mild Stress,Moderate stress,Mild stress,D,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,D,A- does not describe me well,E- describes me very well,E- describes me very well,D,E- describes me very well,A- does not describe me well,C,A- does not describe me well,A- does not describe me well,D,E- describes me very well,A- does not describe me well,C,D,E- describes me very well,E- describes me very well,D,C,E- describes me very well,E- describes me very well,A- does not describe me well,E- describes me very well,"Yes, 1-2 times per week","Yes, every other week","Yes, 3+ times per week","Yes, 1-2 times per week","Yes, 3x per month or less","reading, sewing, hiking",,,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Questioning/unsure,In a romantic relationship,No,No,No,"Yes, 10-20 hours a week",50,96,23,27,25,16
Participant 28,10/26/2022 14:20:52,10/26/2022 14:26:21,IP Address,100,329,TRUE,10/26/2022 14:26:21,R_szGlBXCanrIOenD,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,1- Almost never,4- Usually,1- Almost never,2- Sometimes,1- Almost never,4- Usually,3- Often,3- Often,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,4- Usually,1- Almost never,4- Usually,Moderate stress,Mild stress,Moderate stress,None,Moderate stress,None,None,D,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,D,B,C,D,D,D,A- does not describe me well,B,B,A- does not describe me well,C,D,A- does not describe me well,B,D,C,E- describes me very well,D,C,D,D,D,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week","Yes, 1-2 times per week",No,,,,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,70,88,22,25,21,20
Participant 29,10/26/2022 14:27:29,10/26/2022 14:32:24,IP Address,100,295,TRUE,10/26/2022 14:32:25,R_1NaYjtVeWM1BlPd,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,3- Often,3- Often,3- Often,3- Often,4- Usually,4- Usually,3- Often,3- Often,1- Almost never,3- Often,4- Usually,4- Usually,1- Almost never,4- Usually,Moderate stress,Severe stress,Mild stress,Mild stress,Mild Stress,None,None,D,D,B,B,E- describes me very well,A- does not describe me well,B,C,E- describes me very well,A- does not describe me well,D,A- does not describe me well,D,B,C,D,B,A- does not describe me well,E- describes me very well,D,D,D,C,A- does not describe me well,D,D,A- does not describe me well,C,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less","movies, TV-shows",,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,Yes,"Yes, 10-20 hours a week",57,65,20,23,18,2
Participant 30,10/26/2022 14:26:27,10/26/2022 14:34:28,IP Address,100,481,TRUE,10/26/2022 14:34:28,R_2OYzxCKlkohGKHQ,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,1- Almost never,3- Often,Mild stress,Moderate stress,None,None,Severe stress,None,None,C,C,B,B,C,B,D,C,D,E- describes me very well,C,B,D,C,A- does not describe me well,A- does not describe me well,D,B,D,C,D,D,B,B,C,B,C,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week","Yes, 3x per month or less","Yes, 3x per month or less",Reading,,,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",56,60,14,18,19,13
Participant 31,10/26/2022 14:27:31,10/26/2022 14:36:27,IP Address,100,536,TRUE,10/26/2022 14:36:27,R_2tyQS4eeG283R5u,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,3- Often,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,Mild stress,None,Mild stress,None,Moderate stress,None,Mild stress,D,C,A- does not describe me well,D,C,C,B,C,D,B,D,A- does not describe me well,C,A- does not describe me well,B,C,B,A- does not describe me well,C,E- describes me very well,D,D,C,B,C,D,C,C,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 3x per month or less",reading or watching TV,,,Current first year,20-24,"NSGC region 5: AZ, CO, MT, NM, TX, UT, WY, Alberta, Manitoba, Sask",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,48,70,19,21,19,11
Participant 32,10/26/2022 14:20:37,10/26/2022 14:42:25,IP Address,100,1307,TRUE,10/26/2022 14:42:26,R_2Pz1fTD5OuUp1wk,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,3- Often,3- Often,3- Often,3- Often,4- Usually,2- Sometimes,1- Almost never,4- Usually,Moderate stress,Mild stress,Mild stress,Moderate stress,Severe stress,None,None,C,D,B,B,E- describes me very well,D,B,E- describes me very well,E- describes me very well,D,D,B,B,B,B,C,B,A- does not describe me well,D,E- describes me very well,E- describes me very well,E- describes me very well,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,"Music, movies, or podcasts ",,Current first year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Prefer not to say,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",56,84,21,25,21,14
Participant 33,10/26/2022 14:27:19,10/26/2022 14:42:31,IP Address,100,911,TRUE,10/26/2022 14:42:31,R_3eet30NMBLx3tCP,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,3- Often,4- Usually,3- Often,4- Usually,1- Almost never,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,Mild stress,Moderate stress,None,None,Moderate stress,None,None,C,D,A- does not describe me well,A- does not describe me well,D,D,B,E- describes me very well,E- describes me very well,C,E- describes me very well,B,B,B,B,C,B,B,C,D,E- describes me very well,E- describes me very well,D,B,D,D,B,E- describes me very well,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",No,No,,,,Current first year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Married,No,No,No,"Yes, 10-20 hours a week",50,82,19,24,23,13
Participant 34,10/26/2022 14:16:52,10/26/2022 14:44:50,IP Address,100,1677,TRUE,10/26/2022 14:44:50,R_2ciRLRWnPVeCiHR,anonymous,EN,0.899999976,"I consent, begin the study",4- Usually,1- Almost never,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,1- Almost never,3- Often,3- Often,Mild stress,Mild stress,Mild stress,Mild stress,Moderate stress,Mild stress,None,E- describes me very well,E- describes me very well,D,A- does not describe me well,E- describes me very well,B,A- does not describe me well,D,E- describes me very well,E- describes me very well,E- describes me very well,A- does not describe me well,A- does not describe me well,A- does not describe me well,B,D,D,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,E- describes me very well,B,E- describes me very well,D,D,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week","Yes, 3+ times per week","Yes, 3+ times per week",,,"Singing, watching shows, reading, gardening, playing the flute",Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",Asian,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",37,93,24,28,19,17
Participant 35,10/26/2022 14:31:00,10/26/2022 14:45:43,IP Address,100,883,TRUE,10/26/2022 14:45:44,R_2y9p4jNLNt5UdQa,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,1- Almost never,3- Often,3- Often,3- Often,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,1- Almost never,4- Usually,Mild stress,Mild stress,None,None,Mild Stress,None,None,D,E- describes me very well,B,C,D,E- describes me very well,B,C,D,C,D,A- does not describe me well,C,B,C,D,D,B,C,D,C,D,D,B,B,D,B,C,No,No,"Yes, 1-2 times per week",No,"Yes, 3x per month or less","Reading, crocheting ",,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",62,73,20,21,15,15
Participant 36,10/26/2022 14:27:31,10/26/2022 14:46:35,IP Address,100,1143,TRUE,10/26/2022 14:46:35,R_1hF4cUlQrb5oUWd,anonymous,EN,1,"I consent, begin the study",3- Often,1- Almost never,1- Almost never,3- Often,1- Almost never,3- Often,1- Almost never,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,1- Almost never,3- Often,1- Almost never,2- Sometimes,2- Sometimes,1- Almost never,3- Often,2- Sometimes,Mild stress,Mild stress,None,Mild stress,None,Mild stress,None,C,C,A- does not describe me well,C,A- does not describe me well,A- does not describe me well,D,E- describes me very well,D,C,E- describes me very well,B,E- describes me very well,C,B,A- does not describe me well,B,C,E- describes me very well,C,D,C,A- does not describe me well,A- does not describe me well,D,A- does not describe me well,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 1-2 times per week",,watching TV,,Current first year,35-39,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,33,48,10,15,24,3
Participant 37,10/26/2022 14:42:04,10/26/2022 14:46:52,IP Address,100,288,TRUE,10/26/2022 14:46:53,R_21pTPuWBDc8nUb0,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,4- Usually,1- Almost never,2- Sometimes,3- Often,3- Often,4- Usually,2- Sometimes,1- Almost never,3- Often,3- Often,Severe stress,Moderate stress,None,None,Moderate stress,Moderate stress,None,D,E- describes me very well,A- does not describe me well,C,D,D,B,E- describes me very well,E- describes me very well,D,E- describes me very well,A- does not describe me well,E- describes me very well,D,A- does not describe me well,B,D,B,E- describes me very well,D,E- describes me very well,E- describes me very well,D,A- does not describe me well,E- describes me very well,D,B,E- describes me very well,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,"Social gaming, Arts and crafts",,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",50,79,22,21,25,10
Participant 38,10/26/2022 14:46:52,10/26/2022 14:52:59,IP Address,100,366,TRUE,10/26/2022 14:52:59,R_3G3aaKWehNO21af,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,Moderate stress,None,None,Mild stress,Moderate stress,None,None,E- describes me very well,D,B,B,D,C,A- does not describe me well,C,E- describes me very well,C,D,B,C,B,D,E- describes me very well,D,A- does not describe me well,D,E- describes me very well,B,D,E- describes me very well,B,C,E- describes me very well,A- does not describe me well,C,"Yes, 3x per month or less",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 3x per month or less",cooking elaborately ,,,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",37,75,22,24,14,11
Participant 39,10/26/2022 14:54:59,10/26/2022 15:00:04,IP Address,100,304,TRUE,10/26/2022 15:00:04,R_1oo7LI1GD4jaEs6,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,1- Almost never,3- Often,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,3- Often,4- Usually,3- Often,1- Almost never,4- Usually,Severe stress,Severe stress,Severe stress,Moderate stress,Moderate stress,Moderate stress,Moderate stress,E- describes me very well,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,C,B,D,E- describes me very well,D,E- describes me very well,A- does not describe me well,B,A- does not describe me well,A- does not describe me well,C,C,A- does not describe me well,C,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,B,E- describes me very well,E- describes me very well,D,E- describes me very well,"Yes, 1-2 times per week",No,No,No,"Yes, 3+ times per week",,,"listening to podcasts, hiking",Current second year,25-29,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,Yes,"Yes, less than 10 hours a week",70,96,25,28,24,16
Participant 40,10/26/2022 14:53:12,10/26/2022 15:00:38,IP Address,100,445,TRUE,10/26/2022 15:00:38,R_2eQi49XXN6AsnaI,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,3- Often,4- Usually,3- Often,3- Often,3- Often,4- Usually,4- Usually,1- Almost never,3- Often,2- Sometimes,Mild stress,None,None,None,Moderate stress,None,Mild stress,E- describes me very well,B,B,D,C,B,B,D,D,E- describes me very well,D,C,C,C,B,E- describes me very well,D,A- does not describe me well,D,A- does not describe me well,D,E- describes me very well,E- describes me very well,B,C,E- describes me very well,C,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 3x per month or less",No,"Yes, 3+ times per week",,,mindful mediatations,Current first year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,No,49,73,19,15,18,14
Participant 41,10/26/2022 14:58:11,10/26/2022 15:04:36,IP Address,100,384,TRUE,10/26/2022 15:04:36,R_3EiewEpi6ge1G4P,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,3- Often,3- Often,4- Usually,4- Usually,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,1- Almost never,None,None,None,Mild stress,Moderate stress,None,Mild stress,D,E- describes me very well,B,A- does not describe me well,D,B,B,D,E- describes me very well,B,D,A- does not describe me well,C,B,B,B,B,A- does not describe me well,D,D,D,D,C,A- does not describe me well,C,E- describes me very well,A- does not describe me well,D,"Yes, 3+ times per week","Yes, 1x per month or less","Yes, 3+ times per week",No,"Yes, 3+ times per week",,,"Spending time with family, cooking, playing with my son, watching a movie I want to see",Current first year,35-39,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Bisexual,Married,Yes,No,No,"Yes, 10-20 hours a week",52,71,22,25,20,6
Participant 42,10/26/2022 14:56:19,10/26/2022 15:04:57,IP Address,100,518,TRUE,10/26/2022 15:04:59,R_2YnUNaEEUS1T3Nc,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,4- Usually,3- Often,1- Almost never,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,3- Often,1- Almost never,4- Usually,Mild stress,Moderate stress,Mild stress,Moderate stress,Severe stress,Moderate stress,Mild stress,E- describes me very well,D,B,B,B,D,D,D,D,E- describes me very well,D,D,B,A- does not describe me well,B,D,E- describes me very well,A- does not describe me well,C,E- describes me very well,D,D,E- describes me very well,C,D,D,B,D,"Yes, 3x per month or less","Yes, 1x per month or less","Yes, 3x per month or less",No,"Yes, 3+ times per week",,,run at the gym,Current second year,40-44,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",Hispanic or Latino,No,Male,Bisexual,Single (never married),No,Yes,No,"Yes, 30-40 hours a week",72,81,15,24,21,19
